epoch,train_loss,composite_acc,symmetric_acc,lr
10,2.897597,0.177222,0.038333,0.00022600
20,0.750693,0.401111,0.008889,0.00024867
30,0.204819,0.347222,0.015556,0.00024413
40,0.052526,0.286111,0.018333,0.00023647
50,0.017264,0.268889,0.031667,0.00022590
60,0.007113,0.298889,0.028889,0.00021272
70,0.003514,0.319444,0.002222,0.00019729
80,0.001929,0.314444,0.012778,0.00018001
90,0.001155,0.340000,0.028333,0.00016138
100,0.001182,0.305556,0.010000,0.00014189
110,0.000389,0.363889,0.008889,0.00012207
120,0.000238,0.367778,0.006111,0.00010247
130,0.000173,0.339444,0.014444,0.00008362
140,0.000141,0.345556,0.010556,0.00006604
150,0.000106,0.340556,0.010556,0.00005020
160,0.000088,0.336111,0.017222,0.00003653
170,0.000074,0.340000,0.010000,0.00002542
180,0.000063,0.323333,0.012222,0.00001716
190,0.000056,0.301667,0.017222,0.00001198
200,0.000051,0.306667,0.013333,0.00001002
