epoch,train_loss,composite_acc,symmetric_acc,lr
10,3.459339,0.136667,0.059444,0.00022600
20,0.990796,0.811667,0.001111,0.00024867
30,0.434657,0.543333,0.000556,0.00024413
40,0.094431,0.156111,0.017222,0.00023647
50,0.023860,0.113889,0.013889,0.00022590
60,0.010418,0.157778,0.028333,0.00021272
70,0.005337,0.145556,0.034444,0.00019729
80,0.002876,0.170000,0.023333,0.00018001
90,0.001581,0.188333,0.026111,0.00016138
100,0.000788,0.136667,0.027778,0.00014189
110,0.000484,0.165556,0.027222,0.00012207
120,0.000281,0.135556,0.032778,0.00010247
130,0.000192,0.137778,0.037222,0.00008362
140,0.000137,0.131667,0.037222,0.00006604
150,0.000102,0.113889,0.040556,0.00005020
160,0.000078,0.109444,0.040556,0.00003653
170,0.000061,0.095000,0.038333,0.00002542
180,0.000051,0.104444,0.041667,0.00001716
190,0.000044,0.093889,0.040000,0.00001198
200,0.000039,0.086667,0.041111,0.00001002
