epoch,train_loss,composite_acc,symmetric_acc,lr
10,4.470691,0.006111,0.017778,0.00022600
20,2.979857,0.080000,0.057222,0.00024867
30,2.522625,0.151667,0.023889,0.00024413
40,2.187636,0.110556,0.067778,0.00023647
50,1.944913,0.213333,0.086667,0.00022590
60,1.740467,0.355556,0.070556,0.00021272
70,1.568642,0.450556,0.046667,0.00019729
80,1.399699,0.521667,0.037222,0.00018001
90,1.264600,0.480000,0.035000,0.00016138
100,1.102019,0.346667,0.032778,0.00014189
110,0.845453,0.597778,0.017778,0.00012207
120,0.669394,0.688333,0.010000,0.00010247
130,0.539570,0.762222,0.007778,0.00008362
140,0.446628,0.676111,0.004444,0.00006604
150,0.366130,0.630000,0.003333,0.00005020
160,0.310262,0.668333,0.001111,0.00003653
170,0.279701,0.685000,0.000556,0.00002542
180,0.261301,0.705000,0.000000,0.00001716
190,0.248743,0.706667,0.000000,0.00001198
200,0.240364,0.739444,0.000000,0.00001002
