epoch,train_loss,composite_acc,symmetric_acc,lr
10,4.507866,0.021667,0.000000,0.00022600
20,2.998736,0.152222,0.032222,0.00024867
30,2.373102,0.293333,0.013333,0.00024413
40,1.991307,0.436111,0.017222,0.00023647
50,1.732435,0.165000,0.010556,0.00022590
60,1.534190,0.366667,0.004444,0.00021272
70,1.354705,0.178333,0.005556,0.00019729
80,1.210205,0.321111,0.002222,0.00018001
90,1.084939,0.796667,0.000000,0.00016138
100,0.965949,0.632222,0.000000,0.00014189
110,0.878296,0.552778,0.000000,0.00012207
120,0.806712,0.699444,0.000000,0.00010247
130,0.741594,0.791667,0.000000,0.00008362
140,0.690232,0.767222,0.000000,0.00006604
150,0.653043,0.720556,0.000000,0.00005020
160,0.622306,0.812778,0.000000,0.00003653
170,0.599428,0.803889,0.000000,0.00002542
180,0.583726,0.827778,0.000000,0.00001716
190,0.573136,0.852778,0.000000,0.00001198
200,0.565242,0.865000,0.000000,0.00001002
