epoch,train_loss,composite_acc,symmetric_acc,lr
10,3.366725,0.157778,0.058333,0.00022600
20,2.700330,0.220556,0.023333,0.00024867
30,2.247110,0.262778,0.032778,0.00024413
40,1.914685,0.286111,0.016111,0.00023647
50,1.603628,0.370000,0.037222,0.00022590
60,1.378432,0.543889,0.026667,0.00021272
70,1.129021,0.580556,0.017222,0.00019729
80,0.677762,0.805556,0.015000,0.00018001
90,0.403679,0.868333,0.021667,0.00016138
100,0.299852,0.880000,0.008333,0.00014189
110,0.216913,0.940000,0.002222,0.00012207
120,0.166302,0.942778,0.000000,0.00010247
130,0.135977,0.953333,0.000556,0.00008362
140,0.117506,0.832778,0.006111,0.00006604
150,0.105054,0.775000,0.008333,0.00005020
160,0.096887,0.761111,0.008333,0.00003653
170,0.092268,0.660556,0.013333,0.00002542
180,0.088098,0.630000,0.015556,0.00001716
190,0.085691,0.617222,0.016111,0.00001198
200,0.084007,0.604444,0.018333,0.00001002
