epoch,train_loss,composite_acc,symmetric_acc,lr
10,4.513680,0.010556,0.012778,0.00022600
20,4.372374,0.011111,0.016111,0.00024867
30,0.859818,0.162222,0.020000,0.00024413
40,0.178646,0.085556,0.028889,0.00023647
50,0.047224,0.049444,0.021667,0.00022590
60,0.018177,0.066667,0.016667,0.00021272
70,0.009324,0.078333,0.014444,0.00019729
80,0.005583,0.081111,0.015556,0.00018001
90,0.003413,0.082222,0.016111,0.00016138
100,0.002189,0.076111,0.015000,0.00014189
110,0.001360,0.080000,0.017222,0.00012207
120,0.000912,0.072778,0.020556,0.00010247
130,0.000631,0.076111,0.017222,0.00008362
140,0.000433,0.078889,0.015556,0.00006604
150,0.000348,0.075556,0.020000,0.00005020
160,0.000277,0.073889,0.018889,0.00003653
170,0.000232,0.072778,0.017778,0.00002542
180,0.000204,0.073889,0.018333,0.00001716
190,0.000185,0.072222,0.017222,0.00001198
200,0.000172,0.070556,0.018333,0.00001002
