epoch,train_loss,composite_acc,symmetric_acc,lr
10,3.193123,0.190556,0.044444,0.00022600
20,2.364553,0.303889,0.015000,0.00024867
30,1.858942,0.356667,0.025556,0.00024413
40,1.505537,0.368333,0.003889,0.00023647
50,1.186780,0.341111,0.000000,0.00022590
60,0.905003,0.538333,0.000000,0.00021272
70,0.592749,0.606667,0.002222,0.00019729
80,0.391386,0.608333,0.012778,0.00018001
90,0.212917,0.617222,0.000000,0.00016138
100,0.129866,0.583889,0.000000,0.00014189
110,0.086522,0.484444,0.000000,0.00012207
120,0.066910,0.405556,0.008333,0.00010247
130,0.054578,0.410556,0.015000,0.00008362
140,0.047919,0.365000,0.015000,0.00006604
150,0.043347,0.314444,0.015556,0.00005020
160,0.040099,0.296667,0.016111,0.00003653
170,0.037778,0.302222,0.017222,0.00002542
180,0.036182,0.281111,0.031667,0.00001716
190,0.035204,0.301111,0.017222,0.00001198
200,0.034444,0.261111,0.033333,0.00001002
