epoch,train_loss,composite_acc,symmetric_acc,lr
10,3.240357,0.120556,0.038333,0.00022600
20,2.618399,0.240000,0.041667,0.00024867
30,2.284753,0.196111,0.042222,0.00024413
40,2.047954,0.188333,0.062778,0.00023647
50,1.774560,0.202222,0.027222,0.00022590
60,1.397203,0.257778,0.018889,0.00021272
70,1.034537,0.395000,0.016111,0.00019729
80,0.725465,0.461667,0.017778,0.00018001
90,0.431220,0.583889,0.013333,0.00016138
100,0.283360,0.631667,0.002222,0.00014189
110,0.190833,0.662778,0.000556,0.00012207
120,0.138821,0.598333,0.000000,0.00010247
130,0.110300,0.531667,0.000000,0.00008362
140,0.094309,0.503889,0.000000,0.00006604
150,0.082660,0.475000,0.000000,0.00005020
160,0.074451,0.456111,0.000000,0.00003653
170,0.069272,0.448889,0.000000,0.00002542
180,0.065599,0.437778,0.000000,0.00001716
190,0.063132,0.430000,0.000000,0.00001198
200,0.061396,0.430556,0.000000,0.00001002
