epoch,train_loss,composite_acc,symmetric_acc,lr
10,5.536764,0.010000,0.011667,0.00022600
20,4.515991,0.018889,0.015000,0.00024867
30,4.510644,0.018333,0.012222,0.00024413
40,4.509317,0.014444,0.008889,0.00023647
50,4.507155,0.012778,0.009444,0.00022590
60,4.503952,0.012222,0.013333,0.00021272
70,4.498921,0.015000,0.013889,0.00019729
80,4.493117,0.015000,0.013889,0.00018001
90,4.487336,0.013333,0.013889,0.00016138
100,4.481072,0.011667,0.013333,0.00014189
110,4.476135,0.012222,0.011667,0.00012207
120,4.471367,0.012778,0.013333,0.00010247
130,4.467319,0.013333,0.012778,0.00008362
140,4.463496,0.012778,0.012778,0.00006604
150,4.460562,0.012778,0.011667,0.00005020
160,4.458550,0.012222,0.011667,0.00003653
170,4.456826,0.012778,0.011667,0.00002542
180,4.455564,0.012222,0.011667,0.00001716
190,4.454763,0.012778,0.011667,0.00001198
200,4.454319,0.012778,0.011667,0.00001002
