epoch,train_loss,composite_acc,symmetric_acc,lr
10,3.265336,0.136667,0.046111,0.00022600
20,2.673539,0.252222,0.048333,0.00024867
30,2.319956,0.211667,0.016667,0.00024413
40,2.041141,0.296111,0.015556,0.00023647
50,1.793959,0.252222,0.011667,0.00022590
60,1.536950,0.228889,0.025000,0.00021272
70,1.220628,0.242778,0.016667,0.00019729
80,0.868018,0.213333,0.007222,0.00018001
90,0.572782,0.392778,0.007222,0.00016138
100,0.401243,0.368889,0.020000,0.00014189
110,0.273907,0.378889,0.015000,0.00012207
120,0.213776,0.322778,0.012222,0.00010247
130,0.171174,0.250000,0.012778,0.00008362
140,0.143964,0.201667,0.011111,0.00006604
150,0.126468,0.185556,0.009444,0.00005020
160,0.114248,0.173889,0.009444,0.00003653
170,0.105927,0.147222,0.007778,0.00002542
180,0.100240,0.148889,0.007222,0.00001716
190,0.096142,0.142778,0.008889,0.00001198
200,0.093378,0.123333,0.009444,0.00001002
