epoch,train_loss,composite_acc,symmetric_acc,lr
10,3.313309,0.187222,0.025556,0.00022600
20,2.689075,0.239444,0.018333,0.00024867
30,2.179725,0.270556,0.013889,0.00024413
40,1.765366,0.426667,0.002222,0.00023647
50,1.417121,0.514444,0.000000,0.00022590
60,1.165832,0.432778,0.000556,0.00021272
70,0.898108,0.567222,0.008889,0.00019729
80,0.463134,0.636667,0.017222,0.00018001
90,0.184688,0.690000,0.000000,0.00016138
100,0.108707,0.688333,0.000000,0.00014189
110,0.080215,0.640556,0.001111,0.00012207
120,0.064977,0.632222,0.000556,0.00010247
130,0.055871,0.638333,0.000556,0.00008362
140,0.049186,0.617778,0.000000,0.00006604
150,0.044871,0.605000,0.000000,0.00005020
160,0.041910,0.613889,0.000556,0.00003653
170,0.039826,0.598333,0.000000,0.00002542
180,0.038393,0.607222,0.000000,0.00001716
190,0.037435,0.617778,0.000000,0.00001198
200,0.036845,0.605000,0.000000,0.00001002
