epoch,train_loss,composite_acc,symmetric_acc,lr
10,2.967776,0.231111,0.020000,0.00022600
20,2.038193,0.271111,0.060000,0.00024867
30,1.638939,0.296667,0.022778,0.00024413
40,1.199063,0.328333,0.030000,0.00023647
50,0.480757,0.388889,0.025556,0.00022590
60,0.164866,0.400556,0.031667,0.00021272
70,0.074701,0.223333,0.023889,0.00019729
80,0.038816,0.196111,0.036111,0.00018001
90,0.022664,0.126667,0.035000,0.00016138
100,0.013987,0.147778,0.035000,0.00014189
110,0.009162,0.086111,0.020000,0.00012207
120,0.006340,0.105556,0.015556,0.00010247
130,0.004560,0.065000,0.020000,0.00008362
140,0.003436,0.057222,0.017778,0.00006604
150,0.002609,0.062222,0.010000,0.00005020
160,0.002125,0.061667,0.018333,0.00003653
170,0.001768,0.067222,0.013889,0.00002542
180,0.001553,0.063889,0.017222,0.00001716
190,0.001422,0.065000,0.012222,0.00001198
200,0.001333,0.066111,0.014444,0.00001002
