epoch,train_loss,composite_acc,symmetric_acc,lr
10,5.029253,0.010000,0.010556,0.00022600
20,4.516339,0.010556,0.005000,0.00024867
30,4.512410,0.016667,0.000556,0.00024413
40,4.510445,0.007778,0.016667,0.00023647
50,4.507679,0.017778,0.014444,0.00022590
60,4.500632,0.010000,0.019444,0.00021272
70,4.471604,0.005556,0.021667,0.00019729
80,4.326365,0.031667,0.022778,0.00018001
90,3.344458,0.076111,0.039444,0.00016138
100,2.537338,0.112222,0.073889,0.00014189
110,1.935309,0.114444,0.063889,0.00012207
120,1.538915,0.130556,0.055556,0.00010247
130,1.245709,0.171667,0.035000,0.00008362
140,1.027377,0.163333,0.029444,0.00006604
150,0.868967,0.147778,0.029444,0.00005020
160,0.757167,0.128889,0.032222,0.00003653
170,0.681990,0.112778,0.033333,0.00002542
180,0.632905,0.110000,0.035000,0.00001716
190,0.599843,0.107778,0.035556,0.00001198
200,0.575897,0.105556,0.037778,0.00001002
