epoch,train_loss,composite_acc,symmetric_acc,lr
10,3.105679,0.199444,0.020000,0.00022600
20,2.131688,0.223889,0.015000,0.00024867
30,1.713808,0.506667,0.000556,0.00024413
40,1.366647,0.415556,0.016111,0.00023647
50,1.086946,0.438333,0.016111,0.00022590
60,0.790705,0.387222,0.005000,0.00021272
70,0.383217,0.356111,0.000000,0.00019729
80,0.138896,0.512222,0.000000,0.00018001
90,0.078788,0.673333,0.001111,0.00016138
100,0.050143,0.758889,0.000000,0.00014189
110,0.034904,0.635556,0.020000,0.00012207
120,0.025399,0.581111,0.017778,0.00010247
130,0.019216,0.467778,0.025556,0.00008362
140,0.015736,0.472222,0.017222,0.00006604
150,0.013230,0.300556,0.040000,0.00005020
160,0.011726,0.301667,0.035000,0.00003653
170,0.010753,0.312778,0.035000,0.00002542
180,0.010110,0.278889,0.044444,0.00001716
190,0.009696,0.270000,0.047222,0.00001198
200,0.009443,0.285556,0.041111,0.00001002
