epoch,train_loss,composite_acc,symmetric_acc,lr
10,4.360664,0.015000,0.032222,0.00022600
20,3.541598,0.073333,0.037778,0.00024867
30,3.191004,0.072778,0.047778,0.00024413
40,2.736662,0.188889,0.028333,0.00023647
50,2.260755,0.323333,0.011111,0.00022590
60,2.037524,0.266111,0.010000,0.00021272
70,1.806215,0.340556,0.012778,0.00019729
80,1.661551,0.154444,0.003889,0.00018001
90,1.493545,0.247778,0.021111,0.00016138
100,1.363739,0.586667,0.001111,0.00014189
110,1.261994,0.417222,0.000000,0.00012207
120,1.179782,0.689444,0.015556,0.00010247
130,1.110273,0.464444,0.013889,0.00008362
140,1.076366,0.759444,0.006667,0.00006604
150,1.034992,0.726111,0.006667,0.00005020
160,0.998006,0.575000,0.001111,0.00003653
170,0.966155,0.640000,0.000556,0.00002542
180,0.942031,0.675556,0.000556,0.00001716
190,0.926885,0.700000,0.000000,0.00001198
200,0.915562,0.721111,0.000000,0.00001002
