epoch,train_loss,composite_acc,symmetric_acc,lr
10,5.856961,0.009444,0.009444,0.00022600
20,4.696093,0.006111,0.013333,0.00024867
30,4.526134,0.012222,0.020000,0.00024413
40,4.512180,0.017778,0.003333,0.00023647
50,4.510188,0.018889,0.008889,0.00022590
60,4.500590,0.013889,0.008333,0.00021272
70,4.481196,0.015556,0.012222,0.00019729
80,4.458668,0.020556,0.009444,0.00018001
90,4.435899,0.015556,0.013333,0.00016138
100,4.415590,0.015000,0.011111,0.00014189
110,4.395112,0.016667,0.008889,0.00012207
120,4.378714,0.018333,0.010556,0.00010247
130,4.361951,0.014444,0.012778,0.00008362
140,4.348377,0.017778,0.010556,0.00006604
150,4.337008,0.015000,0.012222,0.00005020
160,4.326434,0.014444,0.012222,0.00003653
170,4.318226,0.012222,0.010000,0.00002542
180,4.311648,0.012778,0.010556,0.00001716
190,4.307506,0.012778,0.012222,0.00001198
200,4.304771,0.012222,0.011667,0.00001002
