epoch,train_loss,composite_acc,symmetric_acc,lr
10,3.688808,0.042778,0.089444,0.00022600
20,0.985773,0.139444,0.062778,0.00024867
30,0.301780,0.022778,0.100000,0.00024413
40,0.118558,0.030556,0.035000,0.00023647
50,0.044640,0.034444,0.017222,0.00022590
60,0.018511,0.037222,0.010000,0.00021272
70,0.009208,0.041667,0.026111,0.00019729
80,0.005166,0.038889,0.030000,0.00018001
90,0.003055,0.037222,0.040556,0.00016138
100,0.002182,0.033889,0.033333,0.00014189
110,0.001329,0.025556,0.034444,0.00012207
120,0.000831,0.026667,0.022222,0.00010247
130,0.000539,0.023333,0.021667,0.00008362
140,0.000389,0.024444,0.021111,0.00006604
150,0.000299,0.024444,0.018889,0.00005020
160,0.000238,0.023889,0.018333,0.00003653
170,0.000200,0.022222,0.016667,0.00002542
180,0.000170,0.023333,0.016667,0.00001716
190,0.000153,0.024444,0.015556,0.00001198
200,0.000141,0.025556,0.015556,0.00001002
