epoch,train_loss,composite_acc,symmetric_acc,lr
10,3.252565,0.180556,0.048889,0.00022600
20,2.085529,0.327778,0.015556,0.00024867
30,1.329892,0.507778,0.005000,0.00024413
40,0.892626,0.533889,0.013889,0.00023647
50,0.568473,0.428889,0.025556,0.00022590
60,0.383625,0.364444,0.026667,0.00021272
70,0.239406,0.330000,0.030000,0.00019729
80,0.149143,0.243889,0.055556,0.00018001
90,0.099513,0.192778,0.032778,0.00016138
100,0.071172,0.176667,0.056667,0.00014189
110,0.055527,0.176667,0.080000,0.00012207
120,0.045808,0.191111,0.089444,0.00010247
130,0.038736,0.188889,0.081667,0.00008362
140,0.034062,0.214444,0.072778,0.00006604
150,0.030511,0.249444,0.070000,0.00005020
160,0.027780,0.260000,0.062778,0.00003653
170,0.025909,0.266111,0.065000,0.00002542
180,0.024706,0.277222,0.058889,0.00001716
190,0.023722,0.251111,0.069444,0.00001198
200,0.023077,0.256111,0.065556,0.00001002
