epoch,train_loss,composite_acc,symmetric_acc,lr
10,4.501281,0.016111,0.005556,0.00022600
20,1.735625,0.011111,0.071667,0.00024867
30,0.417442,0.027778,0.035000,0.00024413
40,0.062926,0.018333,0.049444,0.00023647
50,0.018073,0.028333,0.038889,0.00022590
60,0.008355,0.028889,0.021111,0.00021272
70,0.004688,0.034444,0.020000,0.00019729
80,0.002595,0.035000,0.022222,0.00018001
90,0.001225,0.033889,0.036111,0.00016138
100,0.000728,0.035556,0.035556,0.00014189
110,0.000362,0.035000,0.036111,0.00012207
120,0.000243,0.033333,0.029444,0.00010247
130,0.000168,0.033889,0.031667,0.00008362
140,0.000110,0.031111,0.032222,0.00006604
150,0.000076,0.030000,0.030556,0.00005020
160,0.000057,0.026111,0.028889,0.00003653
170,0.000047,0.020556,0.028889,0.00002542
180,0.000037,0.022778,0.026111,0.00001716
190,0.000032,0.021111,0.026111,0.00001198
200,0.000029,0.020556,0.028889,0.00001002
