epoch,train_loss,composite_acc,symmetric_acc,lr
10,4.613865,0.013333,0.003333,0.00022600
20,4.513246,0.006667,0.010000,0.00024867
30,4.509594,0.016111,0.009444,0.00024413
40,4.471320,0.009444,0.013889,0.00023647
50,4.123755,0.015000,0.030556,0.00022590
60,1.664595,0.053889,0.019444,0.00021272
70,0.695163,0.025556,0.023889,0.00019729
80,0.263699,0.028333,0.021111,0.00018001
90,0.104057,0.033333,0.035556,0.00016138
100,0.052869,0.033333,0.027778,0.00014189
110,0.032735,0.034444,0.021667,0.00012207
120,0.023449,0.034444,0.020000,0.00010247
130,0.018193,0.034444,0.018333,0.00008362
140,0.014903,0.035000,0.016667,0.00006604
150,0.012894,0.033889,0.017778,0.00005020
160,0.011441,0.033333,0.021111,0.00003653
170,0.010470,0.033889,0.018889,0.00002542
180,0.009712,0.033889,0.018333,0.00001716
190,0.009332,0.033889,0.020000,0.00001198
200,0.008994,0.033333,0.020556,0.00001002
