epoch,train_loss,composite_acc,symmetric_acc,lr
10,3.529275,0.087778,0.131667,0.00022600
20,1.378931,0.328889,0.066111,0.00024867
30,0.746766,0.227778,0.047778,0.00024413
40,0.306693,0.113333,0.065000,0.00023647
50,0.105958,0.057222,0.046667,0.00022590
60,0.043860,0.112778,0.050556,0.00021272
70,0.021835,0.161111,0.037222,0.00019729
80,0.011946,0.160000,0.033889,0.00018001
90,0.007671,0.207222,0.031667,0.00016138
100,0.005410,0.236667,0.026111,0.00014189
110,0.003787,0.242222,0.029444,0.00012207
120,0.002715,0.236111,0.026111,0.00010247
130,0.002010,0.249444,0.023889,0.00008362
140,0.001506,0.236111,0.025000,0.00006604
150,0.001207,0.243333,0.022222,0.00005020
160,0.000942,0.236667,0.025556,0.00003653
170,0.000815,0.223333,0.028333,0.00002542
180,0.000708,0.224444,0.026667,0.00001716
190,0.000644,0.221111,0.025556,0.00001198
200,0.000612,0.215556,0.027778,0.00001002
