epoch,train_loss,composite_acc,symmetric_acc,lr
10,4.480125,0.002222,0.020000,0.00022600
20,3.021449,0.146667,0.050000,0.00024867
30,2.630040,0.079444,0.025556,0.00024413
40,2.431482,0.136667,0.025000,0.00023647
50,2.243452,0.250556,0.038333,0.00022590
60,2.070741,0.286111,0.021111,0.00021272
70,1.876722,0.325000,0.032222,0.00019729
80,1.687927,0.426667,0.018889,0.00018001
90,1.536770,0.388333,0.028889,0.00016138
100,1.407274,0.435556,0.033333,0.00014189
110,1.305717,0.441111,0.015556,0.00012207
120,1.195283,0.391667,0.000556,0.00010247
130,1.086513,0.431111,0.000000,0.00008362
140,0.998589,0.528889,0.000000,0.00006604
150,0.913124,0.518889,0.000000,0.00005020
160,0.840371,0.617222,0.000000,0.00003653
170,0.791436,0.611667,0.000000,0.00002542
180,0.753288,0.610556,0.000000,0.00001716
190,0.728278,0.632778,0.000000,0.00001198
200,0.708995,0.649444,0.000000,0.00001002
